date;SPX;S5SFTW;S5PHRM;S5CPGS;S5ENRSX;S5FDBT;S5TECH;S5RETL;S5BANKX;S5HCES;S5DIVF;S5UTILX;S5MEDA;S5TELSX;S5MATRX;S5INSU;S5FDSR;S5HOUS;S5SSEQX;S5TRAN;S5HOTR;S5CODU;S5AUCO;S5COMS;S5REDPIG;S5REAL
01/01/1992;417,09;57,74;122,24;78,82;92,5;104,49;71,44;103,97;81,25;125,71;79,3385;111,55;73,34;88,73;81,67;86,62;85,69;78,57;34,51;97,53;61,84;94,59;57,56;106,52;;
02/01/1992;417,26;58,43;121,78;78,56;92,93;104,35;72,38;105,19;81,72;123,96;79,1428;111;72,43;89,14;81,54;85,43;86;77,77;35,14;95,88;63;94,33;59,67;106,6;;
03/01/1992;419,34;58,23;122,19;78,72;93,08;105,4;72,79;104,61;82,17;124,75;78,9142;111,46;73,34;89,53;81,95;86,6;86,73;77,25;35,12;96,61;63,59;94,35;61,79;109,57;;
06/01/1992;417,96;57,85;121,71;78,84;91,89;104,35;73,47;103,55;82,62;126,61;79,6875;110,51;73,31;89,61;81,41;86,72;85,48;76,76;35,37;96,64;64,98;93,97;62,67;109,13;;
07/01/1992;417,4;58,42;122,15;78,91;90,01;103,62;75,13;102,98;82,37;125,03;80,4237;109,63;73,16;89,99;82,2;86,36;84,09;76,73;36,55;97,43;66,55;94,3;61,95;109,49;;
08/01/1992;418,1;59,81;122,92;79,33;88,69;103,93;74,91;103,37;83,06;125,8;80,7173;109,19;74,09;90,16;82,45;86,2;84,8;77,08;36,79;96,89;67,15;94,9;61,42;110,91;;
09/01/1992;417,61;60,79;123,18;79,07;87,97;104,07;75,16;102,97;82,88;125,15;80,7883;108,05;75,53;90;82,48;85,69;84,35;77,3;37,66;96,12;69,09;95,01;61,57;110,07;;
10/01/1992;415,1;59,86;121,94;78,81;88,09;103,23;74,55;103;81,88;124,47;79,9439;106,89;75,81;88,94;82,25;85,18;83,84;77,08;37,37;95,47;67,85;95,06;60,91;109,47;;
13/01/1992;414,34;60,28;120,96;78,64;89,32;102,79;74,53;104,08;81,84;124,34;79,7707;105,71;75,82;88,17;81,71;84,6;83,43;76,98;37,51;96,57;67,78;94,03;60,87;108,52;;
14/01/1992;420,44;61,55;120,85;79,93;91,07;103,77;76,42;106,18;84,45;125,29;81,4796;106,68;77,52;88,84;82,73;85,83;84,61;78,52;38,14;98,23;69,19;96,37;62,56;110,82;;
15/01/1992;420,77;63,21;117,3;81,05;90,92;102,33;78,54;106,66;86,69;124,3;79,9871;105,73;78,42;88,04;84,76;86,02;85,63;77,4;40,01;101,1;68,97;97,63;63,7;111,85;;
16/01/1992;418,21;62,29;113,96;82,35;90,99;99,83;78,98;106,4;86,51;120,13;78,0127;104,28;78,01;86,72;86,79;85,81;84,76;75,32;41,83;101,68;67,6;96,55;66,06;112,15;;
17/01/1992;418,86;61,25;115,25;83,01;91,9;99,76;79,59;105,6;85,57;119,22;78,3635;104,23;77,34;87,16;86,81;85,44;85,59;74,56;42,41;99,63;67,57;96,95;65,56;112,15;;
20/01/1992;416,36;59,59;114,01;82,53;92,18;99,38;78,84;104,01;84,47;118,92;77,2735;104,5;77,12;86,52;86,14;84,92;85,29;75,3;41,91;99,1;67,73;96,44;65,03;110,65;;
21/01/1992;412,64;57,91;111,97;80,93;93,5;99,01;76,8;101,93;82,94;116,02;76,0719;104,73;76,92;86,83;85,04;84,52;84,62;75,45;41,05;97,91;68,18;94,83;63,29;109,38;;
22/01/1992;418,13;61,48;114,96;81,95;92,21;100,48;78,93;104,21;84,48;118,62;78,1912;106,11;77,76;88,12;85,13;85,65;85,56;77,35;42,17;98,48;69,35;96,31;63,47;110,42;;
23/01/1992;414,96;60,36;114,15;81,23;90,51;100,11;78,19;103,23;84,46;119,74;78,8364;105,28;76,92;87,4;84,29;84,94;85,27;77,58;41,99;97,65;68,84;96,19;62,97;109,87;;
24/01/1992;415,48;60,1;114,79;80,77;90,97;100,28;77,92;104,25;84,97;119,62;79,3603;105,97;76,88;86,51;84,7;84,35;85,39;77,89;41,98;95,83;69,29;95,89;63,59;110,27;;
27/01/1992;414,99;59,65;113,57;80,93;90,83;100,23;78,24;103,91;85,38;119,12;79,1667;105,82;76,48;85,84;85,15;83,55;85,23;77,61;42,03;95,31;68,8;96,4;65,37;111,47;;
28/01/1992;414,96;59,93;112,62;80,8;90,98;99,96;77,97;103,62;85,46;117,75;79,0182;105,73;77,76;85,56;85,58;83,92;85,24;79,75;42,05;95,43;69,61;96,57;65,63;111,04;;
29/01/1992;410,34;59,4;111,64;80,27;89,67;98,27;76,68;102,37;84,47;116,37;77,4066;105,17;76,55;85,27;84,52;83,04;83,98;79,8;41,32;95,31;68,62;96,35;63,23;109,36;;
30/01/1992;411,63;60,28;113,28;80,42;88,67;100,37;76,73;102,38;84,24;117,76;77,5863;104,97;76,51;85,01;84,06;82,69;84,53;80;41,14;96,14;70,7;97,32;62,94;110,42;;
31/01/1992;408,79;59,65;113,27;79,26;87,82;99,81;75,88;102,12;83,42;118,95;75,9707;104,68;75,95;84,4;83,01;81,43;84,2;80,08;40,94;95,26;69,63;97,39;62,69;110,97;;
03/02/1992;409,53;59,84;112,51;79,6;88,13;100,2;76,62;103,61;83,85;119,45;76,4007;104,12;76,38;83,52;82,79;81,73;85,14;79,21;40,78;95,58;70,02;97,65;64,85;110,38;;
04/02/1992;413,85;60,93;114,7;80,22;88,57;100,75;77,91;104,53;85,75;119,89;77,2486;103,83;77,35;84,28;84,01;82,16;86,61;80;42,09;96,33;70,03;98,59;67,04;111,76;;
05/02/1992;413,84;61,95;114,98;80,47;87,28;100,68;77,89;106,02;86,13;120,39;77,1298;103,03;78,33;84,11;83,67;81,79;87,09;80,91;42,76;96,97;70,15;97,3;67,03;112,41;;
06/02/1992;413,82;62,39;113,72;80,65;87,62;100,75;76,94;106,39;87,59;120,03;76,6461;102,98;77,79;83,8;84,4;81,21;87,08;80,1;42,34;97,74;70,36;97,48;67,64;113,1;;
07/02/1992;411,09;62,12;113,02;80,33;88,36;99,16;77,29;105,48;86,83;117,24;76,4472;102,37;77,16;82,49;83,73;80,77;86,56;79,62;43,32;97,51;70,36;97,25;65,84;112,11;;
10/02/1992;413,77;62,99;112,9;80,34;89,51;99,47;78,21;105,88;87,09;116,68;76,7878;102,95;78,08;83,92;84,53;81,14;88,53;79,74;43,85;98,24;70,03;98,17;67,04;112,73;;
11/02/1992;413,76;62,28;112,27;80,33;89,13;99,19;78,3;105,76;86,66;116,4;76,906;103,87;78,53;84,58;84,6;81,21;88,26;79,57;43,79;98,22;69,85;98,68;67,47;113,5;;
12/02/1992;417,13;63,58;112,88;81,2;89,96;99,89;80,58;106,31;87,59;116,91;77,6148;104,17;79,46;84,73;85,17;82,42;88,49;79,72;45,32;99,26;71;98,82;67,92;114,01;;
13/02/1992;413,69;62,56;111,02;80,69;89,11;98,67;80,11;105,79;86,86;114,59;76,5355;103,43;78,87;84,1;84,9;81,72;87,61;78,93;45,22;98,25;70,57;98,98;68,92;113,47;;
14/02/1992;412,48;61,51;109,58;80,58;88,77;98,38;79,54;104,8;86,67;112,71;75,4842;103,24;79,46;83,9;85,82;81,29;87,16;78,53;44,67;99,1;70,15;98,61;71,4;112,47;;
17/02/1992;412,48;61,51;109,58;80,58;88,77;98,38;79,54;104,8;86,67;112,71;75,4842;103,24;79,46;83,9;85,82;81,29;87,16;78,53;44,67;99,1;70,15;98,61;71,4;112,47;;
18/02/1992;407,38;60,41;107,51;80,36;86,57;96,46;79,06;102,6;86,85;109,53;74,0547;102,82;79,57;82,77;85,14;80,88;85,91;77,31;43,78;100,24;68,55;97,71;71,29;110,78;;
19/02/1992;408,26;60,55;107,32;80,53;85,93;96,9;80,07;102,91;87,88;110,75;74,1635;102,42;79,87;82,81;85,86;80,28;86,56;77,85;43,55;100,49;67,83;97,22;72,64;110,54;;
20/02/1992;413,9;62,95;108,54;82,18;86,2;98,93;81,6;104,61;89,39;111,91;75,2745;103,16;81,75;82,73;87,26;80,64;87,55;79,1;44,68;103,54;69,56;98,38;73,92;111,42;;
21/02/1992;411,46;62,28;108,03;82,02;85,98;98,38;81,56;103,38;89,46;111,15;74,9477;101,88;81,33;81,67;86,76;80,21;86,18;79,17;45,17;102,79;70,37;97,28;72,6;110,82;;
24/02/1992;412,27;61,73;109,58;82,04;86,19;98,99;81,02;103,01;90,34;110,87;74,7561;101,5;81,81;82,19;86,56;80,59;86,76;79,23;43,89;102,09;70,62;96,72;71,75;110,44;;
25/02/1992;410,45;61,27;110,44;81,31;86,13;99,06;80,05;102,53;90,08;110,59;74,5386;101,94;81,65;81,89;85,39;79,8;86,51;78,24;43,08;100,93;69,33;95,75;69,79;109,55;;
26/02/1992;415,35;62,45;113,26;81,84;86,78;100,61;80,81;105,69;91,09;114,21;75,8285;102,73;82,26;82,48;85,54;80,09;86,79;78,71;43,72;101,7;68,16;96,65;70,5;110,87;;
27/02/1992;413,86;63,03;112,14;81,24;86,49;99,67;80,45;106,28;91,23;113,57;75,9928;102,51;81,99;82,08;85,44;80,21;86,88;79,34;43,25;100,82;67,93;96,59;69,53;111,49;;
28/02/1992;412,7;62;112,15;80,97;86,16;99,69;79,38;105,17;90,58;112,48;75,1558;102,34;81,71;81,95;85,08;80,82;86,75;78,89;42,5;100,51;67,5;96,43;71,73;111,87;;
02/03/1992;412,45;61,34;111,65;81,69;85,22;99,33;79,95;105,17;90,75;112,36;76,0896;101,96;81,98;81,56;85,5;80,76;86,76;78,93;43,08;100,79;68,06;96,07;71,95;111,47;;
03/03/1992;412,85;61,27;111,1;81,94;85,51;98,99;80,19;105,14;90,81;112,28;75,8957;101,5;82,49;81,31;86,24;80,59;87,31;79,24;42,94;101,96;67,96;96,56;72,2;112,54;;
